,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,4,8,24.0,7.466666666666666,3.3769894834030048,4.0,4.8,6.3,9.35,14.2
2021,4,9,24.0,7.983333333333333,2.5727107454414972,4.4,6.0,7.5,9.7,13.8
2021,4,10,24.0,7.125,0.7338107800172775,5.4,6.8,7.0,7.8,8.0
2021,4,11,24.0,5.958333333333333,1.4530078747405226,4.0,4.8,5.9,7.2,8.4
2021,4,12,24.0,7.391666666666666,1.5819406537174703,5.6,6.0,7.199999999999999,8.2,10.2
2021,4,13,24.0,8.291666666666666,2.681971479060274,5.0,6.300000000000001,7.1,10.05,13.8
2021,4,14,24.0,6.191666666666667,1.9502322418372253,3.6,4.0,6.0,7.95,9.4
2021,4,15,24.0,4.1499999999999995,1.635742086611775,2.0,2.8,4.0,5.5,7.0
2021,4,16,24.0,3.733333333333333,1.762080456798691,2.0,2.0,3.0999999999999996,5.05,7.0
2021,4,17,24.0,7.166666666666667,2.102310668033518,5.0,5.2,7.1,8.55,10.8
2021,4,18,24.0,7.783333333333334,1.772168081798374,5.6,6.0,7.4,9.8,11.0
2021,4,19,24.0,8.966666666666667,3.067170721020279,5.8,6.2,7.5,11.0,14.6
2021,4,20,24.0,11.274999999999999,2.5975322737250983,8.4,9.4,10.0,12.5,17.0
2021,4,21,24.0,9.008333333333333,1.3180739131701644,7.4,8.149999999999999,9.0,9.6,12.6
2021,4,22,24.0,11.283333333333333,3.1655299256435603,8.0,8.4,10.1,13.6,17.2
2021,4,23,24.0,12.558333333333332,2.5848920029019906,9.8,10.4,12.0,13.7,17.8
2021,4,24,24.0,13.774999999999999,3.0935065231377243,10.0,11.149999999999999,12.8,15.6,19.2
2021,4,25,24.0,14.725000000000001,2.472676775234201,11.4,13.0,14.1,16.9,19.4
2021,4,26,24.0,10.575000000000001,2.0407266395554564,8.0,9.2,10.0,11.45,14.8
2021,4,27,24.0,8.441666666666666,1.0333216455627,7.2,7.6,8.1,9.35,10.0
2021,4,28,24.0,9.35,1.2897589933276548,8.0,8.6,8.9,9.5,12.8
2021,4,29,24.0,9.625000000000002,0.5542327246234007,8.6,9.2,9.8,10.0,10.4
2021,4,30,24.0,10.000000000000002,1.2758628793708677,8.4,9.0,9.6,11.2,12.0
2021,5,1,24.0,9.9,0.6241515980843954,8.6,9.6,9.8,10.299999999999999,11.0
2021,5,2,24.0,11.199999999999998,2.6657244712313646,8.0,8.8,10.8,13.7,16.0
2021,5,3,24.0,11.591666666666667,2.801539431884869,8.4,9.3,10.8,13.35,17.0
2021,5,4,24.0,11.933333333333332,2.4335814842695758,9.0,10.149999999999999,10.7,14.0,16.0
2021,5,5,24.0,11.933333333333332,3.279802044220865,8.0,8.9,11.5,14.45,17.2
2021,5,6,24.0,13.258333333333333,2.5534148774204097,10.2,11.2,12.399999999999999,14.8,18.8
2021,5,7,24.0,13.408333333333337,3.5329402297048085,9.0,10.55,13.0,16.2,18.8
2021,5,8,24.0,12.958333333333334,1.7082705891623555,10.0,11.8,13.0,14.25,16.0
2021,5,9,24.0,13.525,0.8979445126655028,12.2,13.0,13.5,14.2,15.4
